fecha,dia,year,horario,festividad,tipo_accidente,lesividad,distrito,direccion,lon,lat,meteo_Despejado,meteo_Lluvia,meteo_Niebla
2019-03-03 23:00:00,2019-03-03 00:00:00,2019,3,3,Colision,Leve,CENTRO,PLAZA. EMPERADOR CARLOS V 1 Madrid,-3.6930305,40.4069594,1,0,0
2019-03-03 21:00:00,2019-03-03 00:00:00,2019,3,3,Colision,Leve,CHAMBERÍ,CALLE PRINCESA / CALLE HILARION ESLAVA Madrid,-3.716889499999999,40.4315287,1,0,0
2019-03-04 16:00:00,2019-03-04 00:00:00,2019,2,1,Colision,Leve,MORATALAZ,CALLE ARROYO DE LA MEDIA LEGUA / CALLE CORREGIDOR DIEGO CABEZA DE VACA Madrid,-3.6560659,40.4101249,1,0,0
2019-03-04 16:00:00,2019-03-04 00:00:00,2019,2,1,Colision,Leve,RETIRO,CALLE ALFONSO XII / CALLE MONTALBAN Madrid,-3.6888065,40.417810300000006,1,0,0
2019-03-04 13:00:00,2019-03-04 00:00:00,2019,2,1,Colision,Moderada,CHAMARTÍN,PASEO. CASTELLANA 92 Madrid,-3.6908818,40.4432324,1,0,0
2019-03-04 12:00:00,2019-03-04 00:00:00,2019,1,1,Caida,Leve,RETIRO,RETIRO Madrid,-3.6749081,40.4113349,1,0,0
2019-03-05 16:00:00,2019-03-05 00:00:00,2019,2,1,Colision,Leve,BARAJAS,CALLE TRESPADERNE / AVDA. SUR DEL AEROPUERTO DE BARAJAS Madrid,-3.5769515,40.4505365,1,0,0
2019-03-06 17:00:00,2019-03-06 00:00:00,2019,2,1,Colision,Leve,SAN BLAS-CANILLEJAS,CALLE ALBAIDA 76 Madrid,-3.6137583,40.4332296,1,0,0
2019-03-06 10:00:00,2019-03-06 00:00:00,2019,1,1,Caida,Leve,VILLA DE VALLECAS,PLAZA. CARDENAL CISNEROS / AVDA. COMPLUTENSE Madrid,-3.7267226,40.4404756,1,0,0
2019-03-08 21:00:00,2019-03-08 00:00:00,2019,3,1,Colision,Moderada,HORTALEZA,CALLE PRINCIPE CARLOS / CALLE MARIA TUDOR Madrid,-3.659097699999999,40.4955912,1,0,0
2019-03-08 21:00:00,2019-03-08 00:00:00,2019,3,1,Colision,Moderada,HORTALEZA,CALLE PRINCIPE CARLOS / CALLE MARIA TUDOR Madrid,-3.659097699999999,40.4955912,1,0,0
2019-03-08 19:00:00,2019-03-08 00:00:00,2019,2,1,Colision,Leve,BARAJAS,AVDA. PARTENON 2 Madrid,-3.6188013,40.46308920000001,1,0,0
2019-03-08 17:00:00,2019-03-08 00:00:00,2019,2,1,Colision,Leve,TETUÁN,PASEO. CASTELLANA / CALLE RAIMUNDO FERNANDEZ VILLAVERDE Madrid,-3.6913488,40.4463472,1,0,0
2019-03-09 20:00:00,2019-03-09 00:00:00,2019,2,2,Colision,Leve,PUENTE DE VALLECAS,CALLE LOPEZ GRASS / AVDA. ALBUFERA Madrid,-3.6616314,40.3943325,1,0,0
2019-03-10 22:00:00,2019-03-10 00:00:00,2019,3,3,Caida,Leve,LATINA,AVDA. PORTUGAL 1 Madrid,-3.7236962,40.4162565,1,0,0
2019-03-10 19:00:00,2019-03-10 00:00:00,2019,2,3,Colision,Moderada,LATINA,PASEO. ERMITA DEL SANTO / CALLE VIA CARPETANA Madrid,-3.7332813,40.3996275,1,0,0
2019-03-10 17:00:00,2019-03-10 00:00:00,2019,2,3,Colision,Leve,HORTALEZA,AVDA. INGENIERO EMILIO HERRERA 15 Madrid,-3.6536823,40.4914782,1,0,0
2019-03-10 15:00:00,2019-03-10 00:00:00,2019,2,3,Colision,Grave,HORTALEZA,CALLE SANTA ADELA 14 Madrid,-3.6490489,40.479068,1,0,0
2019-03-10 15:00:00,2019-03-10 00:00:00,2019,2,3,Colision,Leve,HORTALEZA,CALLE SANTA ADELA 14 Madrid,-3.6490489,40.479068,1,0,0
2019-03-11 22:00:00,2019-03-11 00:00:00,2019,3,1,Colision,Leve,CENTRO,PLAZA. ESPAÑA / CALLE BAILEN Madrid,-3.713318299999999,40.4221995,1,0,0
2019-03-11 21:00:00,2019-03-11 00:00:00,2019,3,1,Caida,Moderada,SALAMANCA,CALLE ALCALDE SAINZ DE BARANDA / AUTOV. M-30 Madrid,-3.674558899999999,40.416658700000006,1,0,0
2019-03-11 20:00:00,2019-03-11 00:00:00,2019,2,1,Otro,Leve,VILLAVERDE,CALLE ALCOCER / AVDA. ANDALUCIA Madrid,-3.6929899,40.3510836,1,0,0
2019-03-12 10:00:00,2019-03-12 00:00:00,2019,1,1,Caida,Leve,PUENTE DE VALLECAS,CALLE REGUERA DE TOMATEROS 39 Madrid,-3.6571596,40.37191729999999,1,0,0
2019-03-12 09:00:00,2019-03-12 00:00:00,2019,1,1,Colision,Moderada,CHAMARTÍN,CALLE JORGE MANRIQUE - CALLE SERRANO Madrid,-3.685857700000001,40.4427903,1,0,0
2019-03-13 19:00:00,2019-03-13 00:00:00,2019,2,1,Otro,Leve,USERA,CALLE DOLORES BARRANCO / CALLE NICOLAS SANCHEZ Madrid,-3.705887,40.3832818,1,0,0
2019-03-15 22:00:00,2019-03-15 00:00:00,2019,3,1,Colision,Moderada,TETUÁN,CALLE BRAVO MURILLO 305 Madrid,-3.697591099999999,40.462476,1,0,0
2019-03-15 20:00:00,2019-03-15 00:00:00,2019,2,1,Caida,Moderada,RETIRO,AVDA. CIUDAD DE BARCELONA / CALLE SECO Madrid,-3.6715486,40.3995373,1,0,0
2019-03-16 19:00:00,2019-03-16 00:00:00,2019,2,1,Colision,Leve,RETIRO,CALLE O'DONNELL 52 Madrid,-3.6702534,40.42107379999999,1,0,0
2019-03-16 18:00:00,2019-03-16 00:00:00,2019,2,1,Colision,Leve,CHAMBERÍ,CALLE ALMAGRO 25 Madrid,-3.6923171,40.43163089999999,1,0,0
2019-03-16 12:00:00,2019-03-16 00:00:00,2019,1,1,Colision,Leve,HORTALEZA,AVDA. NICETO ALCALA ZAMORA / CALLE JULIO CASARES Madrid,-3.6456081,40.4893173,1,0,0
2019-03-16 01:00:00,2019-03-16 00:00:00,2019,3,2,Caida,Leve,CENTRO,CALLE LUIS DE GONGORA / CALLE GRAVINA Madrid,-3.6967813,40.4227359,1,0,0
